Column1,Country,"GDP (nominal, 2023)",GDP (abbrev.),GDP Growth,Population 2023,GDP per capita,Share of World GDP
0,United States,2.77207E+13,27.721 trillion,0.0289,343477335,80706,0.2611
1,China,1.77948E+13,17.795 trillion,0.0525,1422584933,12509,0.1676
2,Germany,4.5257E+12,4.526 trillion,−0.27%,84548231,53528,0.0426
3,Japan,4.20449E+12,4.204 trillion,0.0168,124370947,33806,0.0396
4,India,3.56755E+12,3.568 trillion,0.0815,1438069596,2481,0.0336
5,United Kingdom,3.38085E+12,3.381 trillion,0.0034,68682962,49224,0.0318
6,France,3.05183E+12,3.052 trillion,0.0094,66438822,45934,0.0287
7,Italy,2.30094E+12,2.301 trillion,0.007,59499453,38672,0.0217
8,Brazil,2.17367E+12,2.174 trillion,0.0291,211140729,10295,0.0205
9,Canada,2.14247E+12,2.142 trillion,0.0125,39299105,54517,0.0202
10,Russia,2.02142E+12,2.021 trillion,0.036,145440500,13899,0.019
11,Mexico,1.78911E+12,1.789 trillion,0.032,129739759,13790,0.0169
12,Australia,1.72806E+12,1.728 trillion,0.0344,26451124,65330,0.0163
13,South Korea,1.71279E+12,1.713 trillion,0.0136,51748739,33098,0.0161
14,Spain,1.62009E+12,1.62 trillion,0.0268,47911579,33814,0.0153
15,Indonesia,1.37117E+12,1.371 trillion,0.0505,281190067,4876,0.0129
16,Netherlands,1.15436E+12,1.154 trillion,0.0007,18092524,63803,0.0109
17,Turkey,1.11825E+12,1.118 trillion,0.0511,87270501,12814,0.0105
18,Saudi Arabia,1.06758E+12,1.068 trillion,−0.76%,33264292,32094,0.0101
19,Switzerland,8.8494E+11,884.94 billion,0.0072,8870561,99761,0.0083
20,Poland,8.09201E+11,809.201 billion,0.0014,38762844,20876,0.0076
21,Argentina,6.46075E+11,646.075 billion,−1.61%,45538401,14187,0.0061
22,Belgium,6.44783E+11,644.783 billion,0.0125,11712893,55049,0.0061
23,Sweden,5.8496E+11,584.96 billion,−0.31%,10551494,55439,0.0055
24,Ireland,5.51395E+11,551.395 billion,−5.53%,5196630,106106,0.0052
25,Thailand,5.14969E+11,514.969 billion,0.0189,71702435,7182,0.0049
26,United Arab Emirates,5.1413E+11,514.13 billion,0.0362,10642081,48311,0.0048
27,Israel,5.13611E+11,513.611 billion,0.0242,9256314,55488,0.0048
28,Austria,5.11685E+11,511.685 billion,−0.95%,9130429,56042,0.0048
29,Singapore,5.01428E+11,501.428 billion,0.0107,5789090,86616,0.0047
30,Norway,4.85311E+11,485.311 billion,0.0048,5519167,87932,0.0046
31,Bangladesh,4.37415E+11,437.415 billion,0.0578,171466990,2551,0.0041
32,Philippines,4.37146E+11,437.146 billion,0.0555,114891199,3805,0.0041
33,Vietnam,4.29717E+11,429.717 billion,0.0505,100352192,4282,0.004
34,Denmark,4.07092E+11,407.092 billion,0.025,5948136,68440,0.0038
35,Iran,4.04626E+11,404.626 billion,0.0504,90608707,4466,0.0038
36,Malaysia,3.99705E+11,399.705 billion,0.0356,35126298,11379,0.0038
37,Egypt,3.96002E+11,396.002 billion,0.0376,114535772,3457,0.0037
38,Hong Kong,3.80812E+11,380.812 billion,0.0328,7442734,51166,0.0036
39,South Africa,3.80699E+11,380.699 billion,0.007,63212384,6023,0.0036
40,Nigeria,3.63846E+11,363.846 billion,0.0286,227882945,1597,0.0034
41,Colombia,3.63494E+11,363.494 billion,0.0061,52321152,6947,0.0034
42,Romania,3.50776E+11,350.776 billion,0.024,19118479,18347,0.0033
43,Czech Republic (Czechia),3.43208E+11,343.208 billion,−0.09%,10809716,31750,0.0032
44,Pakistan,3.37912E+11,337.912 billion,−0.04%,247504495,1365,0.0032
45,Chile,3.35533E+11,335.533 billion,0.0022,19658835,17068,0.0032
46,Finland,2.95532E+11,295.532 billion,−1.16%,5601185,52762,0.0028
47,Portugal,2.89114E+11,289.114 billion,0.0253,10430738,27718,0.0027
48,Peru,2.67603E+11,267.603 billion,−0.55%,33845617,7907,0.0025
49,Kazakhstan,2.62642E+11,262.642 billion,0.051,20330104,12919,0.0025
50,New Zealand,2.52176E+11,252.176 billion,0.0073,5172836,48750,0.0024
51,Iraq,2.50843E+11,250.843 billion,−2.94%,45074049,5565,0.0024
52,Algeria,2.47626E+11,247.626 billion,0.041,46164219,5364,0.0023
53,Greece,2.43498E+11,243.498 billion,0.0233,10242908,23772,0.0023
54,Qatar,2.13003E+11,213.003 billion,0.0119,2979082,71500,0.002
55,Hungary,2.12389E+11,212.389 billion,−0.91%,9686463,21926,0.002
56,Ukraine,1.78757E+11,178.757 billion,0.0532,37732836,4737,0.0017
57,Kuwait,1.63705E+11,163.705 billion,−3.64%,4838782,33832,0.0015
58,Ethiopia,1.63698E+11,163.698 billion,0.065,128691692,1272,0.0015
59,Morocco,1.44417E+11,144.417 billion,0.034,37712505,3829,0.0014
60,Slovakia,1.32908E+11,132.908 billion,0.0138,5518055,24086,0.0013
61,Dominican Republic,1.21444E+11,121.444 billion,0.0236,11331265,10718,0.0011
62,Ecuador,1.18845E+11,118.845 billion,0.0236,17980083,6610,0.0011
63,Sudan,1.09266E+11,109.266 billion,−20.11%,50042791,2183,0.001
64,Oman,1.08811E+11,108.811 billion,0.0131,5049269,21550,0.001
65,Kenya,1.08039E+11,108.039 billion,0.0556,55339003,1952,0.001
66,Guatemala,1.0445E+11,104.45 billion,0.0353,18124838,5763,0.00098
67,Bulgaria,1.02408E+11,102.408 billion,0.0189,6795803,15069,0.00096
68,Uzbekistan,1.01592E+11,101.592 billion,0.0629,35652307,2850,0.00096
69,Costa Rica,86497941439,86.498 billion,0.0511,5105525,16942,0.00081
70,Luxembourg,85755006124,85.755 billion,−1.1%,665098,128936,0.00081
71,Angola,84824654482,84.825 billion,0.01,36749906,2308,0.0008
72,Croatia,84393795502,84.394 billion,0.033,3896023,21662,0.00079
73,Sri Lanka,84356863744,84.357 billion,−2.3%,22971617,3672,0.00079
74,Panama,83318176900,83.318 billion,0.074,4458759,18686,0.00078
75,Serbia,81342660752,81.343 billion,0.0385,6773201,12009,0.00077
76,Lithuania,79789877416,79.79 billion,0.0034,2854099,27956,0.00075
77,Tanzania,79062403821,79.062 billion,0.0507,66617606,1187,0.00074
78,Côte d'Ivoire,78875489245,78.875 billion,0.062,31165654,2531,0.00074
79,Uruguay,77240830877,77.241 billion,0.0037,3388081,22798,0.00073
80,Ghana,76370396722,76.37 billion,0.0294,33787914,2260,0.00072
81,Azerbaijan,72356176471,72.356 billion,0.0112,10318207,7012,0.00068
82,Belarus,71857382746,71.857 billion,0.0389,9115680,7883,0.00068
83,Slovenia,69148468417,69.148 billion,0.0211,2118396,32642,0.00065
84,Myanmar,66757619000,66.758 billion,0.0096,54133798,1233,0.00063
85,DR Congo,66383287003,66.383 billion,0.0856,105789731,628,0.00063
86,Turkmenistan,60628857143,60.629 billion,0.063,7364438,8233,0.00057
87,Jordan,50967475352,50.967 billion,0.0268,11439213,4456,0.00048
88,Cameroon,49279410983,49.279 billion,0.0325,28372687,1737,0.00046
89,Uganda,48768955863,48.769 billion,0.0534,48656601,1002,0.00046
90,Tunisia,48529595417,48.53 billion,0.0004,12200431,3978,0.00046
91,Bahrain,46079867021,46.08 billion,0.0298,1569666,29356,0.00043
92,Macao,45803067940,45.803 billion,0.7506,713912,64158,0.00043
93,Bolivia,45135398009,45.135 billion,0.0308,12244159,3686,0.00043
94,Libya,45096462972,45.096 billion,0.1016,7305659,6173,0.00042
95,Paraguay,42956263544,42.956 billion,0.0471,6844146,6276,0.0004
96,Cambodia,42335646896,42.336 billion,0.0496,17423880,2430,0.0004
97,Latvia,42247850065,42.248 billion,0.0171,1882396,22444,0.0004
98,Estonia,41291245222,41.291 billion,−3.02%,1367196,30201,0.00039
99,Nepal,40908073367,40.908 billion,0.0195,29694614,1378,0.00039
100,Zimbabwe,35231367886,35.231 billion,0.0534,16340822,2156,0.00033
101,Honduras,34400509852,34.401 billion,0.0358,10644851,3232,0.00032
